"level_code","field_code","duration_yr","fee","cum_duration","fee_component","none_fee_component","duration_whole_yr","loan_for_course","loan_at_graduation","sac_funding","total_funding"
"07","0301",3,7009,3,21027,32700,3,53727,53727,11395,34185
"07","0303",3,6500,3,19500,32700,3,52200,52200,11395,34185
"07","0305",3,6500,3,19500,32700,3,52200,52200,11395,34185
"07","0307",3,5904,3,17712,32700,3,50412,50412,11395,34185
"07","0309",3,6009,3,18027,32700,3,50727,50727,11395,34185
"07","0311",4,8068,4,32272,43600,4,75872,75872,11395,45580
"07","0313",3.33333333333333,8016.33333333333,3.33333333333333,26721.1111111111,36333.3333333333,3,63054.4444444444,63054.4444444444,11395,37983.3333333333
"07","0315",3,45333,3,135999,32700,3,168699,168699,12643,37929
"07","0317",3,6500,3,19500,32700,3,52200,52200,11395,34185
"07","0399",3.5,6851.66666666667,3.5,23980.8333333333,38150,3,62130.8333333333,62130.8333333333,11395,39882.5
"07","0400",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0401",3.42857142857143,7853.42857142857,3.42857142857143,26926.0408163265,37371.4285714286,3,64297.4693877551,64297.4693877551,11395,39068.5714285714
"07","0403",3,7351.33333333333,3,22054,32700,3,54754,54754,11395,34185
"07","0500",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0501",3.25,6706.25,3.25,21795.3125,35425,3,57220.3125,57220.3125,10650,34612.5
"07","0503",3,6985,3,20955,32700,3,53655,53655,10650,31950
"07","0505",4,7968,4,31872,43600,4,75472,75472,10650,42600
"07","0507",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0509",3.33333333333333,6785.33333333333,3.33333333333333,22617.7777777778,36333.3333333333,3,58951.1111111111,58951.1111111111,10650,35500
"07","0599",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0600",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0601",5,12780.3333333333,5,63901.6666666667,54500,5,118401.666666667,118401.666666667,43048,215240
"07","0603",3.44,7118.76,3.44,24488.5344,37496,3,61984.5344,61984.5344,10650,36636
"07","0605",4,8021,4,32084,43600,4,75684,75684,15454,61816
"07","0607",3.5,10211.25,3.5,35739.375,38150,3,73889.375,73889.375,52207,182724.5
"07","0609",5,8695,5,43475,54500,5,97975,97975,15454,77270
"07","0611",4,9858.5,4,39434,43600,4,83034,83034,27796,111184
"07","0613",3,6355.2,3,19065.6,32700,3,51765.6,51765.6,11395,34185
"07","0615",3,7060.2,3,21180.6,32700,3,53880.6,53880.6,18342,55026
"07","0617",3.5,7904.1,3.5,27664.35,38150,3,65814.35,65814.35,9478,33173
"07","0619",3.5,8197.25,3.5,28690.375,38150,3,66840.375,66840.375,6196,21686
"07","0699",3.44444444444444,6033.44444444444,3.44444444444444,20781.8641975309,37544.4444444444,3,58326.3086419753,58326.3086419753,9478,32646.4444444444
"07","0700",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0701",3.43243243243243,6065.02702702703,3.43243243243243,20817.7954711468,37413.5135135135,3,58231.3089846603,58231.3089846603,8828,30301.5135135135
"07","0703",3.66666666666667,6054.33333333333,3.66666666666667,22199.2222222222,39966.6666666667,3,62165.8888888889,62165.8888888889,8828,32369.3333333333
"07","0799",5,6117,5,30585,54500,5,85085,85085,NA,NA
"07","0800",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0801",3,5960,3,17880,32700,3,50580,50580,6196,18588
"07","0803",3.36585365853659,6004.34146341463,3.36585365853659,20209.7346817371,36687.8048780488,3,56897.5395597858,56897.5395597858,6196,20854.8292682927
"07","0805",4,6321.33333333333,4,25285.3333333333,43600,4,68885.3333333333,68885.3333333333,6196,24784
"07","0807",3,6526.33333333333,3,19579,32700,3,52279,52279,6196,18588
"07","0809",3,6500,3,19500,32700,3,52200,52200,6196,18588
"07","0811",3,6500,3,19500,32700,3,52200,52200,6196,18588
"07","0899",3.6,6382,3.6,22975.2,39240,3,62215.2,62215.2,6196,22305.6
"07","0900",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0901",3,6500,3,19500,32700,3,52200,52200,6196,18588
"07","0903",3.33333333333333,6126.83333333333,3.33333333333333,20422.7777777778,36333.3333333333,3,56756.1111111111,56756.1111111111,6196,20653.3333333333
"07","0905",3.51724137931034,6000.48275862069,3.51724137931034,21105.146254459,38337.9310344828,3,59443.0772889417,59443.0772889417,6196,21792.8275862069
"07","0907",3,6500,3,19500,32700,3,52200,52200,6196,18588
"07","0909",4.73684210526316,6563.47368421053,4.73684210526316,31090.1385041551,51631.5789473684,4,82721.7174515236,82721.7174515236,6196,29349.4736842105
"07","0911",3,6263,3,18789,32700,3,51489,51489,6196,18588
"07","0913",3,6500,3,19500,32700,3,52200,52200,6196,18588
"07","0915",3,5704.66666666667,3,17114,32700,3,49814,49814,6196,18588
"07","0917",3,5225.625,3,15676.875,32700,3,48376.875,48376.875,6196,18588
"07","0919",3,5965,3,17895,32700,3,50595,50595,6196,18588
"07","0921",3.07692307692308,6390.30769230769,3.07692307692308,19662.4852071006,33538.4615384615,3,53200.9467455621,53200.9467455621,6196,19064.6153846154
"07","0999",3.72222222222222,6205.66666666667,3.72222222222222,23098.8703703704,40572.2222222222,3,63671.0925925926,63671.0925925926,6196,23062.8888888889
"07","1000",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","1001",3.29411764705882,6742.05882352941,3.29411764705882,22209.1349480969,35905.8823529412,3,58115.0173010381,58115.0173010381,6196,20410.3529411765
"07","1003",3.57142857142857,6819.14285714286,3.57142857142857,24354.0816326531,38928.5714285714,3,63282.6530612245,63282.6530612245,6196,22128.5714285714
"07","1005",3.14285714285714,7438.35714285714,3.14285714285714,23377.693877551,34257.1428571429,3,57634.8367346939,57634.8367346939,6196,19473.1428571429
"07","1007",3,7008.54545454545,3,21025.6363636364,32700,3,53725.6363636364,53725.6363636364,6196,18588
"07","1099",3.25,6786.375,3.25,22055.71875,35425,3,57480.71875,57480.71875,6196,20137
"07","1100",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","1101",3,6852,3,20556,32700,3,53256,53256,6196,18588
"07","1103",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","3333",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","4444",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","5555",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","7777",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","8888",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","9999",3,6500,3,19500,32700,3,52200,52200,NA,NA
"08","0100",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0101",1,7000,4,7000,10900,4,17900,69515,17072,17072
"08","0103",1,7000,4,7000,10900,4,17900,70100,17072,17072
